Tractor Name,Year,Hours,Company,Company URL,URL
Case IH Maxxum 110,2017,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/a-m-group/c80ca05d,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-maxxum-110/lftixfzh.html
Case IH CVX1155 Tractor,2005,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/garlick-agri-ltd/5fd48c79,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-cvx1155-tractor/lflb0kol.html
Case IH Maxxum 125,2011,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/a-m-group/c80ca05d,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-maxxum-125/zdudzqwq.html
Case IH Maxxum 115,2017,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/a-m-group/c80ca05d,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-maxxum-115/wnwlrfvo.html
Case IH Farmall 55,2015,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/rea-valley-tractors-ltd/f78a8117,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-farmall-55/sdogqmmp.html
Case IH 240 CVX,2021,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/rea-valley-tractors-ltd/f78a8117,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-240-cvx/qnoqtctb.html
Case IH Puma 145,2014,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/cg-machinery/a4631113,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-145/sptlqkth.html
Case IH JX1060C,2004,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/ripon-farm-services-ltd/ae8aa17f,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-jx1060c/0q0brdom.html
Case IH Maxxum 125 Tractor c/w Quicke Q6S Loader,2017,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/garlick-agri-ltd/5fd48c79,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-maxxum-125-tractor-c-w-quicke-q6s-loader/qlvf0csk.html
Case IH Puma 240 CVX,2021,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/morgan-machinery-ltd/7be8639a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-240-cvx/zpveojxp.html
Case IH Farmall 110 C,2024,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/kfs-krone-forage-solutions/6a27714a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-farmall-110-c/unvnqqpn.html
Case IH Puma 150,2018,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/townson-tractors-ltd/7939e304,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-150/zmtjtipf.html
Case IH MAXXUM 150,2020,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/ben-burgess-co/1dbc1d0d,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-maxxum-150/yhmguole.html
Case IH Maxxum 115,2019,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/morgan-machinery-ltd/7be8639a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-maxxum-115/meojzotd.html
Case IH Puma 240,2021,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/morgan-machinery-ltd/7be8639a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-240/yjnjpjrg.html
Case IH Quantum 110N,2020,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/mark-hellier-tractors-se-ltd/165669e7,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-quantum-110n/ljvezmmf.html
Case IH CVX 240,2023,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/parris-tractors-ltd/abb2804b,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-cvx-240/nbvlnnob.html
Case IH 2 x Magnum 370 CVX ENGINES BRAND NEW,2013,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/mark-hellier-tractors-se-ltd/165669e7,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-2-x-magnum-370-cvx-engines-brand-new/ykylshyf.html
Case IH Magnum 380 RowTrac,2018,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/j-r-firby-ltd/78e32a6a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-magnum-380-rowtrac/tgldposo.html
Case IH CVX 240,2023,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/parris-tractors-ltd/abb2804b,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-cvx-240/lbzq0eqj.html
Case IH Farmall C 55,2021,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/a-m-group/c80ca05d,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-farmall-c-55/rhngvdug.html
Case IH Maxxum 115,2019,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/a-m-group/c80ca05d,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-maxxum-115/liqpnduj.html
Case IH Optum 300 CVX,2022,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/dll/794bec45,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-optum-300-cvx/vpwirjlp.html
Case IH Puma 240 CVX,2024,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/kfs-krone-forage-solutions/6a27714a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-240-cvx/tktkymto.html
Case IH Puma 260 CVX,2024,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/kfs-krone-forage-solutions/6a27714a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-260-cvx/uhyfskne.html
Case IH Optum 300 CVX,2024,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/kfs-krone-forage-solutions/6a27714a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-optum-300-cvx/sf0cxmne.html
Case IH Puma 260 CVX,2023,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/kfs-krone-forage-solutions/6a27714a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-260-cvx/uipkzmle.html
Case IH 175CVX,2022,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/rea-valley-tractors-ltd/f78a8117,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-175cvx/yfpfnhme.html
Case IH Puma 160,2015,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/m-m-plant-devon-cornwall-ltd/74f5f548,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-160/lcmovpzo.html
Case IH OPTUM 300 CVX,2021,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/mark-hellier-tractors-se-ltd/165669e7,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-optum-300-cvx/lexq0ete.html
Case IH FARMALL 115,2019,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/thurlow-nunn-standen-ltd/74e32660,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-farmall-115/pqwqomth.html
Case IH Puma 155,2011,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/doubleday-holbeach/4b3b05cf,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-155/0hojrcrd.html
Case IH Puma 155,2011,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/doubleday-holbeach/4b3b05cf,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-155/vlypuepe.html
Case IH JX1090U,2005,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/doubleday-holbeach/4b3b05cf,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-jx1090u/yfslnkof.html
Case IH Luxxum 110,2021,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/townson-tractors-ltd/7939e304,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-luxxum-110/rlneuizi.html
Case IH 695,1993,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/morgan-machinery-ltd/7be8639a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-695/pbsbmcol.html
Case IH Luxxum 120 Only 547hrs!,2021,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/doubleday-holbeach/4b3b05cf,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-luxxum-120-only-547hrs/qepenjvq.html
Case IH Puma 150,2017,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/doubleday-holbeach/4b3b05cf,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-150/yhsbqmog.html
Case IH Puma 165,2018,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/mark-hellier-tractors-se-ltd/165669e7,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-165/mgzhtiyf.html
Case IH CS86,2002,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/doubleday-holbeach/4b3b05cf,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-cs86/uivdmkrq.html
Case IH Farmall 95 A,2019,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/greenheath-limited/cd9c20b4,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-farmall-95-a/nqlpyiwl.html
Case IH PUMA 125 T3,2012,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/riverlea-tractors-ltd/c3fe5d2e,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-125-t3/pcmdubnm.html
Case IH CS105 Pro,2009,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/doubleday-holbeach/4b3b05cf,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-cs105-pro/sqpjwqth.html
Case IH Maxxum 145,2017,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/doubleday-holbeach/4b3b05cf,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-maxxum-145/qhugxmyh.html
Case IH Puma 240,2019,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/doubleday-holbeach/4b3b05cf,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-240/znpnnqqg.html
Case IH Puma 165,2020,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/doubleday-holbeach/4b3b05cf,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-165/mmxirqwj.html
Case IH JX1090U Only 3865hrs!,2007,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/doubleday-holbeach/4b3b05cf,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-jx1090u-only-3865hrs/tdlh0jxk.html
Case IH 155c,2015,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/morgan-machinery-ltd/7be8639a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-155c/tmrnpqop.html
Case IH 55A FARMALL,2019,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/morgan-machinery-ltd/7be8639a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-55a-farmall/npwbndpp.html
Case IH OPTUM AND PUMA,2019,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/mark-hellier-tractors-se-ltd/165669e7,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-optum-and-puma/wcmdqbpk.html
Case IH Maxxum 140,2016,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/andrew-wilkins/8772066a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-maxxum-140/0ktmupug.html
Case IH 9380 Quadtrac For Breaking,2000,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/j-r-firby-ltd/78e32a6a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-9380-quadtrac-for-breaking/yhshynwn.html
Case IH MXU100,2007,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/templetuohy-farm-machinery-ltd/91002bc9,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-mxu100/tqrppcxg.html
"Case IH PUMA 240CVX, AFS Connect, 2024, Relevage avant,",2024,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/vermatrac-handelsonderneming-b-v/9ddd03e2,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-240cvx-afs-connect-2024-relevage-avant/ueshtg0i.html
Case IH CVX 170,2003,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/beverdam-machinery/7adf394c,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-cvx-170/uoubzgtc.html
"Case IH Maxxum 150CVX, suspendu, GPS, 165 heures!!",2022,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/vermatrac-handelsonderneming-b-v/9ddd03e2,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-maxxum-150cvx-suspendu-gps-165-heures/rguepcwn.html
Case IH Farmall 75 A,2023,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/bemu-trekkerspecialist/4dfd0673,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-farmall-75-a/ykybzgug.html
Case IH Puma 130,2013,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/stm-trading/0b1d960a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-130/snpbqjyb.html
"Case IH PUMA 185 Multi controller,50km/h, frein d'air, '19",2019,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/vermatrac-handelsonderneming-b-v/9ddd03e2,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-185-multi-controller-50km-h-frein-d-air-19/qoxjumuh.html
Case IH Puma 220 CVX AFS,2024,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/gromec-landbouwmechanisatie-bv/83571ff0,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-220-cvx-afs/pblonplq.html
Case IH puma cvx 175,2023,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/gromec-landbouwmechanisatie-bv/83571ff0,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-cvx-175/mbycxlle.html
Case IH IH Farmall 100,2021,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/vd-machinery/e1583761,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-ih-farmall-100/tgrbterg.html
Case IH Magnum 380 CVX,2015,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/koop-van-der-wal-b-v/461f8ee6,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-magnum-380-cvx/unpfplul.html
